Date,Arcelor_Share_Price,Arcelor_Excess_Return,Arcelor_Cummulative_Excess_Return,Mittal_Share_Price,Mittal_Excess_Return,Mittal_Cummulative_Excess_Return
19-Jun-06,3 4.70,6%,36%,2 4.88,3%,-11%
20-Jun-06,3 5.40,1%,38%,2 5.35,1%,-10%
21-Jun-06,3 5.02,-4%,34%,2 6.03,0%,-10%
22-Jun-06,3 5.02,0%,34%,2 5.99,0%,-9%
23-Jun-06,3 5.02,-3%,32%,2 5.32,-5%,-15%
26-Jun-06,3 7.80,7%,39%,2 4.38,-4%,-19%
27-Jun-06,3 7.00,-2%,37%,2 3.97,-1%,-21%
28-Jun-06,3 7.19,-1%,35%,2 3.58,-4%,-24%
29-Jun-06,3 7.51,-2%,33%,2 4.12,-1%,-25%
30-Jun-06,3 7.74,0%,33%,2 4.19,0%,-25%
03-Jul-06,3 6.92,-3%,30%,2 3.54,-4%,-29%
04-Jul-06,3 6.07,-3%,27%,2 2.90,-3%,-32%
05-Jul-06,3 5.29,0%,28%,2 2.15,-1%,-33%
06-Jul-06,3 5.45,1%,28%,2 2.14,0%,-33%
07-Jul-06,3 6.84,3%,31%,2 3.44,5%,-28%
10-Jul-06,3 6.90,0%,32%,2 3.30,-1%,-28%
11-Jul-06,3 6.88,0%,32%,2 2.82,-2%,-30%
12-Jul-06,3 8.22,4%,36%,2 4.39,7%,-23%
13-Jul-06,3 8.52,5%,40%,2 6.75,14%,-9%
14-Jul-06,3 9.04,1%,42%,2 5.40,-5%,-14%
17-Jul-06,3 9.22,3%,44%,2 5.20,1%,-13%
18-Jul-06,3 8.89,-1%,43%,2 5.20,0%,-13%
19-Jul-06,4 0.05,-1%,43%,2 6.19,0%,-13%
20-Jul-06,4 0.55,3%,46%,2 6.81,5%,-8%
21-Jul-06,4 0.00,1%,47%,2 6.05,0%,-8%
24-Jul-06,3 9.53,-3%,44%,2 5.97,-2%,-11%
25-Jul-06,3 9.58,-2%,42%,2 5.50,-4%,-15%
26-Jul-06,4 3.00,8%,50%,2 6.50,3%,-12%
27-Jul-06,4 2.40,-1%,49%,2 6.40,0%,-12%
28-Jul-06,4 1.64,-4%,45%,2 6.25,-2%,-14%
31-Jul-06,4 1.75,0%,45%,2 6.60,1%,-13%
01-Aug-06,4 2.00,2%,47%,2 7.05,3%,-10%
